problem_id,iteration,dataset_type,status,passed_public,failed_public,timeout_public,passed_private,failed_private,timeout_private,passed_generate,failed_generate,timeout_generate,total_passed,total_failed,total_timeout,total_tests,dataset_name,results_directory
0,iteration_0,test,FAILED,0,1,0,0,0,0,117,83,0,117,84,0,201,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
1,iteration_0,test,FAILED,2,0,0,2,5,0,13,187,0,17,192,0,209,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
2,iteration_0,test,FAILED,0,3,0,1,2,0,4,196,0,5,201,0,206,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
3,iteration_0,test,FAILED,1,4,0,14,55,0,121,79,0,136,138,0,274,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
4,iteration_0,test,FAILED,0,2,0,1,1,0,12,188,0,13,191,0,204,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\test\gpt-3.5-turbo\results
0,iteration_0,valid,FAILED,0,2,0,1,1,0,4,196,0,5,199,0,204,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
1,iteration_0,valid,FAILED,0,2,0,0,0,1,0,4,1,0,6,2,8,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
2,iteration_0,valid,FAILED,1,2,0,0,0,0,25,175,0,26,177,0,203,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
3,iteration_0,valid,PASSED,4,0,0,5,0,0,91,0,0,100,0,0,100,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
4,iteration_0,valid,PASSED,1,0,0,3,0,0,200,0,0,204,0,0,204,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
5,iteration_0,valid,PASSED,1,0,0,1,0,0,200,0,0,202,0,0,202,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
6,iteration_0,valid,FAILED,0,2,0,2,3,0,7,193,0,9,198,0,207,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
7,iteration_0,valid,FAILED,0,1,0,0,6,1,5,61,1,5,68,2,75,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
8,iteration_0,valid,PASSED,1,0,0,4,0,0,200,0,0,205,0,0,205,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
9,iteration_0,valid,FAILED,0,1,0,1,3,0,1,199,0,2,203,0,205,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
10,iteration_0,valid,FAILED,0,1,0,0,2,0,0,200,0,0,203,0,203,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
11,iteration_0,valid,PASSED,1,0,0,0,0,0,200,0,0,201,0,0,201,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
12,iteration_0,valid,FAILED,0,1,0,22,69,0,16,184,0,38,254,0,292,codecontest,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\codecontest\valid\gpt-3.5-turbo\results
0,iteration_0,plus,FAILED,2,0,0,966,33,0,0,0,0,968,33,0,1001,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
1,iteration_0,plus,FAILED,0,1,0,7,993,0,0,0,0,7,994,0,1001,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
2,iteration_0,plus,NO_TESTS,0,0,0,0,0,0,0,0,0,0,0,0,0,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
3,iteration_0,plus,FAILED,2,0,0,717,181,0,0,0,0,719,181,0,900,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
4,iteration_0,plus,PASSED,1,0,0,785,0,0,0,0,0,786,0,0,786,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
5,iteration_0,plus,FAILED,1,1,0,6,147,0,0,0,0,7,148,0,155,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
6,iteration_0,plus,FAILED,1,0,0,11,55,0,0,0,0,12,55,0,67,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
7,iteration_0,plus,PASSED,2,0,0,178,0,0,0,0,0,180,0,0,180,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
8,iteration_0,plus,PASSED,2,0,0,1000,0,0,0,0,0,1002,0,0,1002,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
9,iteration_0,plus,FAILED,1,0,0,265,694,0,0,0,0,266,694,0,960,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
10,iteration_0,plus,FAILED,1,2,0,50,730,0,0,0,0,51,732,0,783,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
11,iteration_0,plus,PASSED,1,0,0,405,0,0,0,0,0,406,0,0,406,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
12,iteration_0,plus,FAILED,3,0,0,580,353,0,0,0,0,583,353,0,936,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
13,iteration_0,plus,PASSED,2,0,0,987,0,0,0,0,0,989,0,0,989,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
14,iteration_0,plus,FAILED,1,0,0,753,150,0,0,0,0,754,150,0,904,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
15,iteration_0,plus,PASSED,2,0,0,134,0,0,0,0,0,136,0,0,136,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
16,iteration_0,plus,FAILED,2,0,0,286,714,0,0,0,0,288,714,0,1002,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
17,iteration_0,plus,PASSED,1,0,0,215,0,0,0,0,0,216,0,0,216,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
18,iteration_0,plus,PASSED,3,0,0,1000,0,0,0,0,0,1003,0,0,1003,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
19,iteration_0,plus,PASSED,1,0,0,128,0,0,0,0,0,129,0,0,129,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\plus\gpt-3.5-turbo\results
0,iteration_0,raw,PASSED,2,0,0,7,0,0,0,0,0,9,0,0,9,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
1,iteration_0,raw,NO_TESTS,0,0,0,0,0,0,0,0,0,0,0,0,0,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
2,iteration_0,raw,PASSED,1,0,0,3,0,0,0,0,0,4,0,0,4,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
3,iteration_0,raw,FAILED,2,0,0,4,2,0,0,0,0,6,2,0,8,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
4,iteration_0,raw,PASSED,1,0,0,3,0,0,0,0,0,4,0,0,4,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
5,iteration_0,raw,PASSED,2,0,0,3,0,0,0,0,0,5,0,0,5,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
6,iteration_0,raw,PASSED,1,0,0,3,0,0,0,0,0,4,0,0,4,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
7,iteration_0,raw,PASSED,2,0,0,4,0,0,0,0,0,6,0,0,6,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
8,iteration_0,raw,PASSED,2,0,0,5,0,0,0,0,0,7,0,0,7,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
9,iteration_0,raw,PASSED,1,0,0,4,0,0,0,0,0,5,0,0,5,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
10,iteration_0,raw,PASSED,3,0,0,5,0,0,0,0,0,8,0,0,8,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
11,iteration_0,raw,PASSED,1,0,0,3,0,0,0,0,0,4,0,0,4,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
12,iteration_0,raw,PASSED,3,0,0,3,0,0,0,0,0,6,0,0,6,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
13,iteration_0,raw,PASSED,2,0,0,4,0,0,0,0,0,6,0,0,6,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
14,iteration_0,raw,PASSED,1,0,0,3,0,0,0,0,0,4,0,0,4,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
15,iteration_0,raw,PASSED,2,0,0,3,0,0,0,0,0,5,0,0,5,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
16,iteration_0,raw,PASSED,2,0,0,5,0,0,0,0,0,7,0,0,7,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
17,iteration_0,raw,PASSED,1,0,0,5,0,0,0,0,0,6,0,0,6,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
18,iteration_0,raw,PASSED,3,0,0,4,0,0,0,0,0,7,0,0,7,humaneval,C:\Users\tayla\OneDrive\Dokumente\Paircoder\A-Pair-Coder\Examples\PairCoder-main\logs\humaneval\raw\gpt-3.5-turbo\results
